epsilon_names,exp_nodes_1,exp_nodes_2,exp_nodes_3,path_len_1,path_len_2,path_len_3
10.000,30,30,30,20,20,20
5.500,0,32,32,0,20,20
3.250,0,51,51,0,20,20
2.125,0,0,639,0,0,20
1.562,0,0,1884,0,0,19
