epsilon_names,exp_nodes_1,exp_nodes_2,exp_nodes_3,path_len_1,path_len_2,path_len_3
10.000,155,155,155,69,69,69
5.500,0,167,167,0,69,69
3.250,0,218,218,0,57,57
2.125,0,0,241,0,0,57
1.562,0,0,258,0,0,57
1.281,0,0,297,0,0,49
1.141,0,0,324,0,0,49
1.070,0,0,351,0,0,49
1.035,0,0,362,0,0,49
1.018,0,0,363,0,0,49
1.009,0,0,363,0,0,49
1.004,0,0,363,0,0,49
1.002,0,0,363,0,0,49
1.001,0,0,363,0,0,49
1.000,0,0,372,0,0,49
