epsilon_names,exp_nodes_1,exp_nodes_2,exp_nodes_3,path_len_1,path_len_2,path_len_3
10.000,517,517,517,24,24,24
5.500,0,504,504,0,24,24
3.250,0,0,972,0,0,24
2.125,0,0,1480,0,0,22
